#Id|Instrument Name |Type|Band       |Telescope         |Homepage                                                                                                            |Remarks                                                                                                                                                                                 |Last Modified|Modified By
183|SINFONI         |spec|ir         |VLT-UT4           |http://www.eso.org/public/teles-instr/paranal-observatory/vlt/vlt-instr/sinfoni/                                    |Near-infrared integral field spectrograph                                                                                                                                               |2017-07-20   |ofer       
184|IFOSC           |both|optical    |IGO               |http://igo.iucaa.in/igoweb/igo_tele_and_inst_ifosc.htm                                                              |IUCAA Faint Object Spectrograph & Camera (IFOSC)                                                                                                                                        |2017-08-17   |ilanm      
185|NIRCam          |phot|optical+nir|JWST              |https://jwst.stsci.edu/instrumentation/nircam                                                                       |Near Infrared Camera                                                                                                                                                                    |2017-08-20   |ofer       
186|NIRSpec         |spec|optical+nir|JWST              |https://jwst.stsci.edu/instrumentation/nirspec                                                                      |Near Infrared Spectrograph                                                                                                                                                              |2017-08-20   |ofer       
187|NIRISS          |both|ir         |JWST              |https://jwst.stsci.edu/instrumentation/niriss                                                                       |Near-Infrared Imager and Slitless Spectrograph                                                                                                                                          |2017-08-20   |ofer       
188|MIRI            |spec|ir         |JWST              |https://jwst.stsci.edu/instrumentation/miri                                                                         |Mid-Infrared Instrument                                                                                                                                                                 |2017-08-20   |ofer       
190|OGLE-IV Cam     |phot|optical    |OGLE-1.3m         |http://ogle.astrouw.edu.pl                                                                                          |                                                                                                                                                                                        |2017-10-08   |ofer       
191|Paczynski       |phot|optical    |ASASSN-3          |http://www.astronomy.ohio-state.edu/~assassin/index.shtml                                                           |                                                                                                                                                                                        |2017-10-27   |ofer       
192|Leavitt         |phot|optical    |ASASSN-4          |http://www.astronomy.ohio-state.edu/~assassin/index.shtml                                                           |                                                                                                                                                                                        |2017-10-30   |ofer       
193|IRAC            |phot|ir         |SST               |http://www.spitzer.caltech.edu/mission/398-The-Infrared-Array-Camera-IRAC-                                          |The Infrared Array Camera                                                                                                                                                               |2017-11-02   |ofer       
